idPNMain,PNG,Name,PNstat,RAJ2000,DECJ2000,DRAJ2000,DDECJ2000,Glon,Glat,MajDiam,mainClass,subClass
4264,013.8-02.0,PTB 38,T,18:23:04.445,-17:53:34.13,275.76852,-17.89281,13.83236,-2.03698,,E,
4266,014.2-03.4,PTB 39,T,18:29:00.358,-18:10:46.52,277.25149,-18.17959,14.23398,-3.41889,,S,
4267,011.8-05.0,PTB 34,T,18:30:07.9,-21:05:05.28,277.53300,-21.08480,11.76810,-4.98834,12.9,R,r
4268,013.4-04.2,V-V 3-4,T,18:30:34.1,-19:14:45.35,277.64198,-19.24593,13.45538,-4.23764,,S,
4270,014.3-07.2,PTB 40,T,18:43:39.812,-19:48:32.66,280.91588,-19.80907,14.34757,-7.24593,9.0,E,a;
4272,011.3-09.1,PTB 32,T,18:45:10.08,-23:21:33.1,281.29200,-23.35919,11.27876,-9.11667,130.0,E,a;s
4286,359.5-01.4,JaSt 72,T,17:50:29.0,-30:03:34.56,267.62100,-30.05960,359.58500,-1.48653,22.0,B,a;s;
4295,002.9-01.8,MPA1759-2719,T,17:59:55.4,-27:19:17.04,269.98099,-27.32140,2.99444,-1.89410,20.0,E,
4297,002.6-02.5,TYC 6850-2332-1,T,18:01:50.2,-27:55:26.04,270.45901,-27.92390,2.68008,-2.56021,15.0,E,
4298,002.5-02.6,MPA 1802-2803,T,18:02:04.6,-28:03:38.88,270.51901,-28.06080,2.58695,-2.67376,42.8,E,r;
4299,002.6-02.8a,MPA J1802-2807,T,18:02:53.5,-28:07:55.92,270.72299,-28.13220,2.61328,-2.86557,33.0,R,a;r;
4302,002.1-03.8,MPA 1805-2902,T,18:05:55.4,-29:02:45.96,271.48099,-29.04610,2.13957,-3.89249,,E,a;r;
4315,004.3+01.8,H 2-24,T,17:48:36.5,-24:16:34.25,267.15207,-24.27618,4.33245,1.84326,8.4,B,a;
4318,358.6-01.1,JaSt 58,T,17:46:52.2,-30:37:42.82,266.71750,-30.62856,358.69514,-1.11143,14.0,S,
